"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Tuliptree","Liriodendron tulipifera","Ohio","Summit","Hampton Hills Metro Park","","","vicinity coordinates; nearest parking lot","","177017","1","","","","public","152.0'","","","","","","Stefan Radivoyevitch","2018-12-19","","N"
"Tuliptree","Liriodendron tulipifera","Ohio","Summit","Hampton Hills Metro Park","","","vicinity coordinates; nearest parking lot","","177018","1","","","","public","152.0'","","","","","","Stefan Radivoyevitch","2018-12-19","","N"
"Tuliptree","Liriodendron tulipifera","Ohio","Summit","Hampton Hills Metro Park","","","vicinity coordinates; nearest parking lot","","177016","1","","","","public","156.0'","","","","","","Stefan Radivoyevitch","2018-12-19","","N"
