"StateId","RHI5","RHI10","RHI20","RGI5","RGI10","RGI20","TreesMeasuredCount","LastMeasurementDate","ContainsEntityWithCoordinates"
"71",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"72",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"73",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"74",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"75",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"76",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"77",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"78",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"79",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"8","1.2331999969482422e+002","1.0816000061035156e+002",NULL,"1.3001666641235351e+001","1.0481666660308838e+001",NULL,"37","2026-02-19","1"
"80",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"81",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"82",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"83",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"84",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"86",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"87",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"88",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"89",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"9","1.6537999877929687e+002","1.5613999938964844e+002","1.4858000030517579e+002","2.1483333206176759e+001","1.8958333110809328e+001","1.6524999856948853e+001","711","2025-11-27","1"
"90","9.6379999542236334e+001",NULL,NULL,"1.0133333206176758e+001",NULL,NULL,"10","2000-01-01","1"
"91","2.1719999694824217e+001",NULL,NULL,"1.9016666650772094e+000",NULL,NULL,"7","2023-01-11","1"
"92",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"93",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"94",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"95",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"96",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"97",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"98",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"99",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
