"Id","Rank"
"1000759508","3"
"1004127417","2"
"1020550105","3"
"1024023579","1"
"1024682701","1"
"1025158205","3"
"102684758","2"
"1028177810","1"
"1029377630","2"
"1031908306","1"
"1035416021","2"
"1037434906","2"
"103876374","2"
"1043313281","2"
"1044579856","2"
"1045068406","2"
"1049316308","3"
"1049347547","2"
"1050618422","2"
"1051469549","1"
"1051477658","2"
"1066272849","2"
"1068891486","4"
"1069466906","1"
"1070883503","1"
"1074762596","1"
"1076447330","3"
"1079422003","2"
"1079743439","2"
"1089401033","2"
"1091176613","2"
"1091684717","2"
"1100539379","1"
"1103198338","1"
"1103296412","2"
"1106379227","1"
"1107477123","2"
"1108066086","2"
"1108486047","1"
"1110464236","3"
"1111044898","1"
"1111178346","1"
"1111330126","1"
"1118233980","1"
"1119502022","1"
"1119557446","2"
"1120207921","3"
"112303271","3"
"1126018214","1"
"1128765723","3"
"1131165235","3"
"1139755764","2"
"1146189924","3"
"1149719792","2"
"1151178935","2"
"1158374073","3"
"1159049065","3"
"1161385249","3"
"1163057934","4"
"1169397419","2"
"1170581192","3"
"1173866880","3"
"1180524933","2"
"1191614535","3"
"1192200224","1"
"1197204031","1"
"1202689709","1"
"1203121500","2"
"120331065","3"
"1203534740","1"
"1203552028","3"
"1206302983","1"
"1210636208","1"
"1211704231","2"
"1212898755","2"
"1214380790","1"
"1219681219","1"
"1223163095","3"
"1228388268","2"
"1230090751","2"
"1231983055","2"
"123664577","2"
"1238292332","1"
"1240920477","3"
"1242177984","2"
"124313283","3"
"1244268750","1"
"1244552502","2"
"1245729586","2"
"1247031038","3"
"1247033960","1"
"1257575400","1"
"1260170270","2"
"1260420807","2"
"1271830754","1"
"1273416230","3"
"1280974761","3"
"1290480125","2"
"1295639008","1"
"1297593385","1"
"1298928949","1"
"1298955289","2"
"1299031847","2"
"1303617597","1"
"1307955056","2"
"1308730149","3"
"1310960552","1"
"1312860352","1"
"1313387738","2"
"1325706243","2"
"1327846172","3"
"1330225901","3"
"1332191159","4"
"1334075300","2"
"1335858242","2"
"1339034155","2"
"1342389704","2"
"1345332006","3"
"1347986187","2"
"1350271567","1"
"1354011306","1"
"1354154791","1"
"1357520640","1"
"1360007395","1"
"136042647","1"
"136849009","2"
"13694961","1"
"1369732571","2"
"1375332808","2"
"1376816159","2"
"1380299608","1"
"1383053246","2"
"1383477510","3"
"138377134","2"
"1391443403","2"
"1391710644","3"
"1395884630","2"
"1397397460","2"
"1400402252","1"
"1400507258","3"
"1403228271","2"
"1406771364","1"
"1408540096","3"
"140986111","2"
"1410109489","1"
"141072376","4"
"141269712","1"
"1417235284","2"
"1421542341","1"
"1423759164","2"
"1424375441","2"
"1427447527","2"
"1428851627","3"
"1431256952","2"
"1431820680","3"
"144034486","3"
"1444116609","1"
"1445809168","1"
"1447104392","4"
"1447239097","3"
"1448005013","1"
"1448132718","2"
"1449184594","3"
"1455136737","2"
"1460235322","2"
"1461261109","1"
"1461437217","2"
"1461703705","1"
"1462422230","1"
"1463106544","3"
"1467182838","3"
"1472381095","2"
"1474286472","2"
"1474669771","2"
"1477137021","3"
"1477197073","3"
"1481046681","2"
"1486207314","1"
"1489333812","2"
"1492013962","2"
"1497540272","2"
"1501654860","4"
"1504502478","1"
"15084424","3"
"1509072066","1"
"1509685266","1"
"1513475773","3"
"1513618578","1"
"1515213910","2"
"1516207700","1"
"1523008984","1"
"1529732782","2"
"1530384972","2"
"1541444132","2"
"1548254585","2"
"1550007973","2"
"1553129748","2"
"1554284170","2"
"15544520","1"
"1554795774","2"
"1556082885","2"
"1559516858","3"
"1559885262","2"
"1561602053","3"
"156357066","2"
"1568218104","3"
"1570131620","1"
"1570698380","4"
"1571182516","2"
"1571739007","2"
"1573945138","1"
"1574526388","1"
"1575861871","1"
"1578327721","2"
"1579957395","3"
"1580341594","2"
"1590750765","2"
"1590797480","1"
"1591655399","1"
"1595706395","2"
"1596206377","1"
"1598080511","1"
"159808412","2"
"1598429057","2"
"1602624884","2"
"1604358605","1"
"1607099128","3"
"1608661687","1"
"1609401894","1"
"1609524769","1"
"161174185","1"
"1612800321","1"
"1614058026","2"
"1614339922","1"
"161497071","2"
"1619111350","3"
"1620188430","2"
"1622094729","3"
"1626012918","3"
"1630688348","1"
"1632489506","3"
"1632533012","1"
"1633647491","2"
"1635998763","1"
"163623139","1"
"1636786197","2"
"163789850","1"
"1640636478","3"
"1659472942","1"
"1660213313","1"
"1662078571","1"
"1663525435","2"
"1664642884","2"
"1665182480","1"
"1668917405","2"
"1672151501","2"
"1674492253","3"
"167770264","2"
"1678438822","3"
"1680909025","1"
"168780398","2"
"1688036041","2"
"1690348331","3"
"169252789","2"
"1693196788","2"
"1695896656","2"
"1697513616","1"
"1699230510","2"
"1699524838","2"
"1703787132","2"
"170422680","3"
"1704298247","2"
"1708587176","3"
"1711753435","3"
"1716105377","3"
"1718794657","3"
"172630677","3"
"1727934005","1"
"1729466133","1"
"1734684936","2"
"1735294270","3"
"1736156779","3"
"173702002","3"
"173770116","1"
"175757250","2"
"175988532","1"
"1763545816","3"
"1764853025","2"
"176813963","2"
"1770387419","3"
"1774441419","3"
"1776181113","1"
"177643331","2"
"1779293662","2"
"178074730","3"
"1782381272","2"
"1782458716","2"
"1786749331","1"
"1787528172","2"
"1789335802","2"
"1791345164","1"
"1791698960","2"
"1794168056","2"
"1800258037","3"
"1800408612","4"
"1805760327","1"
"1809992853","2"
"1816258148","1"
"1819030034","2"
"1826826803","3"
"1833465774","2"
"1834593410","1"
"1837186574","3"
"1837733363","2"
"1838971520","1"
"1841251469","2"
"1841682876","2"
"1843686419","3"
"184790485","3"
"1854559187","2"
"1855688020","1"
"185978590","1"
"1861029745","3"
"1864220315","2"
"1871562602","2"
"1872216394","2"
"1874170388","2"
"1875143155","2"
"187551187","2"
"1876013038","1"
"1879314228","2"
"1880749817","2"
"1885311076","2"
"1886505530","2"
"1888315201","2"
"1888607712","3"
"1905845871","3"
"1907020878","3"
"1914716699","1"
"1914741326","1"
"1918283706","2"
"1919507476","2"
"1920976386","2"
"1926293885","3"
"1931405618","3"
"1934160646","4"
"1936270189","2"
"194077224","2"
"1941394054","1"
"1945117039","2"
"1945628937","2"
"1948455786","1"
"1948591262","1"
"1949350481","2"
"1955620728","3"
"1958153011","3"
"1962381301","2"
"1962850865","3"
"1967050881","2"
"1967269043","2"
"1967937195","3"
"1968041523","2"
"1969996336","2"
"1970985165","2"
"1972074195","3"
"1974866833","2"
"1975813325","4"
"1977158299","3"
"1978882380","3"
"1982347156","1"
"1983683254","3"
"1984394007","2"
"1986091444","2"
"1988929648","1"
"1988991517","2"
"1989048997","2"
"1994980582","1"
"1995616072","2"
"1996676049","2"
"2001064326","2"
"2007530738","3"
"2011116492","4"
"2013524550","2"
"2023623044","2"
"2030537314","2"
"2032834100","3"
"2045560209","1"
"2045991563","3"
"2048073565","3"
"2048114688","2"
"2048523640","2"
"2051171559","1"
"2051856328","2"
"2052943410","1"
"2067870796","3"
"2068459850","1"
"2072141400","1"
"2079756429","3"
"2079891241","2"
"2083608097","2"
"208542450","2"
"2086955159","1"
"2087159769","1"
"2088732244","3"
"2090174772","2"
"2092497961","1"
"2097923893","3"
"2098495221","3"
"2099045230","1"
"2101865822","2"
"210275387","3"
"2107239171","1"
"210887078","1"
"2109839318","2"
"2110404639","2"
"2115207263","1"
"2120032961","1"
"2120109195","3"
"2128955826","2"
"2134750713","2"
"2138762503","2"
"213920952","1"
"2143217147","1"
"2144455275","2"
"2144602702","1"
"2146629363","3"
"21612489","3"
"221760222","2"
"225579273","2"
"22853412","3"
"234429914","1"
"236855592","1"
"237198253","2"
"240433647","2"
"241559016","1"
"241926952","2"
"242084914","2"
"242328444","2"
"248706795","2"
"249472781","3"
"252817586","1"
"253177529","3"
"253286265","3"
"260322958","2"
"262261672","1"
"262399278","2"
"26392348","1"
"265780883","4"
"272596029","2"
"277705875","3"
"277807177","1"
"279197145","2"
"281358120","2"
"282753969","1"
"282988267","1"
"285621314","3"
"286589698","3"
"289747634","3"
"290012576","1"
"290905544","1"
"291240909","2"
"293260998","2"
"294765153","1"
"297599110","1"
"298195076","2"
"298263068","1"
"300404689","1"
"303644578","2"
"308042744","2"
"318558183","2"
"32492090","1"
"330869936","2"
"332205282","1"
"336470463","2"
"346157970","1"
"352060299","1"
"35995317","1"
"361934879","2"
"362325468","3"
"363147036","1"
"37196435","1"
"373535566","1"
"374727998","2"
"375316662","3"
"377471773","3"
"379613986","2"
"382162788","2"
"384916787","1"
"385925641","1"
"388038258","2"
"388669950","2"
"390955910","1"
"395840853","2"
"396071938","2"
"397064312","4"
"397607153","2"
"403665145","2"
"408578945","2"
"411215579","2"
"414224246","2"
"419455886","2"
"419739566","2"
"42204333","2"
"430252453","2"
"432631019","1"
"43300394","1"
"435121842","2"
"4353661","2"
"438547882","1"
"444565803","1"
"449276573","2"
"454063799","2"
"459643563","1"
"466642753","2"
"468970053","3"
"469176034","3"
"471624310","1"
"472746360","1"
"475576247","3"
"47819412","2"
"480339820","1"
"480657233","2"
"481882541","3"
"487056010","2"
"492120335","3"
"49700874","1"
"504259893","2"
"512897308","2"
"517148953","2"
"518482947","3"
"51945310","1"
"519735972","2"
"524228288","2"
"526732147","1"
"527223719","4"
"527909002","3"
"531294158","2"
"533284260","1"
"53485026","3"
"535606802","1"
"535640081","1"
"535782520","2"
"53770454","2"
"538131651","3"
"542799216","2"
"542979698","2"
"54560723","1"
"545640580","3"
"549662625","2"
"552070164","1"
"560070001","1"
"56033463","2"
"563672196","2"
"567367768","1"
"56758610","2"
"573240008","1"
"574034771","2"
"576362917","2"
"579959524","3"
