"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"285621314","Picea glauca","White Spruce","1.2759999847412109e+002","2","211375","7.3200001716613770e+000","2","211375","0.0000000000000000e+000","0",NULL,"28"
"286589698","Picea meyeri","Meyer Spruce","5.2299999237060547e+001","2","226139","4.0000000000000000e+000","2","226139","0.0000000000000000e+000","0",NULL,"1"
"289747634","Arbutus menziesii","Pacific Madrone","6.2500000000000000e+001","2","274985","7.1666665077209473e+000","2","274985","0.0000000000000000e+000","0",NULL,"1"
"290012576","Washingtonia filifera","California Fan Palm","6.7599998474121094e+001","2","239519","9.1999998092651367e+000","2","239521","0.0000000000000000e+000","0",NULL,"6"
"290905544","Ailanthus altissima","Tree Of Heaven","1.2550000000000000e+002","2","322882","1.6833333969116211e+001","2","313229","6.8199996948242188e+001","2","313229","40"
"291240909","Pinus strobiformis","Southwestern White Pine","1.0419999694824219e+002","2","320685","1.0140000343322754e+001","2","226132","0.0000000000000000e+000","0",NULL,"5"
"293260998","Chamaecyparis pisifera","Sawara False Cypress","1.0650000000000000e+002","2","281843","1.0833333015441895e+001","2","255966","5.0000000000000000e+001","2","224345","27"
"294765153","Quercus x saulii","Hybrid Oak","1.3619999694824219e+002","2","243531","1.1000000000000000e+001","2","231145","5.3000000000000000e+001","2","313106","8"
"297599110","Quercus suber","Cork Oak","7.2500000000000000e+001","2","274972","8.8333330154418945e+000","2","274950","0.0000000000000000e+000","0",NULL,"3"
"298195076","Zanthoxylum clava-herculis","Hercules' Club","4.2599998474121094e+001","2","241614","1.8000000715255737e+000","2","163327","0.0000000000000000e+000","0",NULL,"4"
"298263068","Cornus foemina","Stiff Dogwood","2.5799999237060547e+001","2","234762","1.0833333730697632e+000","2","228988","2.0500000000000000e+001","2","236756","4"
"300404689","Ulmus alata","Winged Elm","1.2330000305175781e+002","2","252283","9.3333330154418945e+000","2","238594","0.0000000000000000e+000","0",NULL,"24"
"303644578","Fagus sylvatica","European Beech","1.0309999847412109e+002","2","258150","2.1416666030883789e+001","2","214528","1.0100000000000000e+002","2","283514","18"
"308042744","Juniperus arizonica","Redberry Juniper","2.7700000762939453e+001","2","142572","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"31262840","Carya glabra","Pignut Hickory","1.6700000000000000e+002","2","252341","1.6583333969116211e+001","2","251166","9.0000000000000000e+001","2","166955","344"
