"Id","StateId","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"141431677","25","Juglans nigra","Black Walnut","1.2619999694824219e+002","2","226784","8.5000000000000000e+000","2","226784","0.0000000000000000e+000","0",NULL,"4"
"1414894849","12","Prunus serotina var. serotina","Black Cherry","5.9599998474121094e+001","2","74813","5.3416666984558105e+000","2","74813","0.0000000000000000e+000","0",NULL,"1"
"1415592385","36","Hamamelis vernalis","Ozark Witchhazel","2.7899999618530273e+001","2","135641","1.2500000000000000e+000","2","135641","0.0000000000000000e+000","0",NULL,"1"
"1416266212","13","Robinia pseudoacacia","Black Locust","1.0790000152587891e+002","2","169754","6.0000000000000000e+000","2","169754","0.0000000000000000e+000","0",NULL,"1"
"1416822215","18","Pyrus calleryana","Callery Pear","4.0700000762939453e+001","2","128437","1.0000000000000000e+001","2","128437","0.0000000000000000e+000","0",NULL,"2"
"1417157803","47","Populus grandidentata","Bigtooth Aspen","1.2300000000000000e+002","2","313081","7.9166665077209473e+000","2","312047","5.6000000000000000e+001","2","313081","5"
"1419205620","43","Castanea mollissima","Chinese Chestnut","5.2799999237060547e+001","2","224537","1.3583333015441895e+001","2","224537","0.0000000000000000e+000","0",NULL,"1"
"1419330780","38","Sabal palmetto","Cabbage Palmetto","4.4900001525878906e+001","2","67559","3.5333335399627686e+000","2","67559","0.0000000000000000e+000","0",NULL,"1"
"1420001758","40","Quercus lyrata","Overcup Oak","1.2709999847412109e+002","2","321990","1.4699999809265137e+001","2","322005","0.0000000000000000e+000","0",NULL,"19"
"1420811993","38","Ostrya virginiana","Hophornbeam","5.3099998474121094e+001","2","238163","2.5833332538604736e+000","2","238163","0.0000000000000000e+000","0",NULL,"1"
"1421969579","22","Carya ovata","Shagbark Hickory","1.1230000305175781e+002","2","171804","7.3000001907348633e+000","2","171804","0.0000000000000000e+000","0",NULL,"2"
"1422266654","33","Morus alba","White Mulberry","6.0500000000000000e+001","2","302711","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1422486183","15","Carya tomentosa","Mockernut Hickory","1.3039999389648437e+002","2","297633","7.0000000000000000e+000","2","297633","0.0000000000000000e+000","0",NULL,"4"
"1423021690","33","Ulmus americana","American Elm","1.2569999694824219e+002","2","16002","2.3166666030883789e+001","2","10002","0.0000000000000000e+000","0",NULL,"16"
"1423497212","9","Acer floridanum","Southern Sugar Maple","9.4400001525878906e+001","2","243322","1.2000000000000000e+001","2","243215","0.0000000000000000e+000","0",NULL,"3"
"1425168515","40","Quercus coccinea","Scarlet Oak","1.2250000000000000e+002","2","228368","7.5000000000000000e+000","2","230556","0.0000000000000000e+000","0",NULL,"3"
"1425569041","38","Fraxinus pennsylvanica","Green Ash","1.3960000610351562e+002","2","252857","1.4333333015441895e+001","2","238584","0.0000000000000000e+000","0",NULL,"19"
"1426100674","17","Quercus ellipsoidalis","Northern Pin Oak","8.9599998474121094e+001","2","189021","9.0299997329711914e+000","2","189021","0.0000000000000000e+000","0",NULL,"1"
"142834720","9","Cotinus obovatus","American Smoketree","6.2900001525878906e+001","2","234489","4.7500000000000000e+000","2","234486","0.0000000000000000e+000","0",NULL,"4"
"1429160233","23","Diospyros virginiana","Common Persimmon","1.0500000000000000e+002","2","251416","6.4166665077209473e+000","2","251416","0.0000000000000000e+000","0",NULL,"2"
"1429737499","25","Magnolia acuminata","Cucumber-Tree","1.4730000305175781e+002","2","227021","1.3166666984558105e+001","2","243511","0.0000000000000000e+000","0",NULL,"19"
"1429905934","6","Betula papyrifera","Paper Birch","7.0000000000000000e+001","2","243159","5.0000000000000000e+000","2","243159","0.0000000000000000e+000","0",NULL,"1"
"1430767586","47","Magnolia virginiana","Sweetbay","2.5600000381469727e+001","2","315048","2.0833332538604736e+000","2","315049","0.0000000000000000e+000","0",NULL,"3"
"1431532516","22","Carya illinoinensis","Pecan","1.3130000305175781e+002","2","283637","1.1899999618530273e+001","2","283685","0.0000000000000000e+000","0",NULL,"5"
"1431856365","9","Vitis spp.","Grape","0.0000000000000000e+000","0",NULL,"4.7500000000000000e+000","2","281436","0.0000000000000000e+000","0",NULL,"1"
"1432307387","90","Pinus montezumae","Montezuma Pine","1.1009999847412109e+002","2","285520","8.0000000000000000e+000","2","285520","0.0000000000000000e+000","0",NULL,"1"
"143257937","11","Larix occidentalis","Western Larch","1.7810000610351562e+002","2","318064","1.1724999427795410e+001","2","226251","0.0000000000000000e+000","0",NULL,"7"
"1434389576","32","Pinus pungens","Table Mountain Pine","3.0299999237060547e+001","2","218289","3.5799999237060547e+000","2","218289","0.0000000000000000e+000","0",NULL,"1"
"1435139300","232","Ulmus glabra","Wych Elm","1.2600000000000000e+002","2","283476","1.4416666984558105e+001","2","283477","0.0000000000000000e+000","0",NULL,"2"
"1435694104","36","Cornus kousa","Kousa Dogwood","1.8600000381469727e+001","2","255994","1.9166666269302368e+000","2","255994","0.0000000000000000e+000","0",NULL,"1"
"1437435618","47","Ulmus pumila","Siberian Elm","7.2000000000000000e+001","2","313143","1.5750000000000000e+001","2","313143","7.0000000000000000e+001","2","313143","5"
"1438287129","18","Betula lenta","Sweet Birch","1.0740000152587891e+002","2","168105","8.4166669845581055e+000","2","231987","0.0000000000000000e+000","0",NULL,"4"
"1438512644","47","Castanea sativa","European Chestnut","5.7000000000000000e+001","2","313191","8.3583335876464844e+000","2","313191","3.8500000000000000e+001","2","313191","1"
"1439025950","32","Hamamelis virginiana","American Witchhazel","4.4599998474121094e+001","2","221141","8.9999997615814209e-001","2","323118","0.0000000000000000e+000","0",NULL,"5"
"1439437132","2","Liriodendron tulipifera","Tuliptree","1.2240000152587891e+002","2","243103","7.0000000000000000e+000","2","243104","0.0000000000000000e+000","0",NULL,"2"
"1439620166","17","Acer rubrum var. rubrum","Red Maple","1.2519999694824219e+002","2","19226","8.3999996185302734e+000","2","19227","5.5000000000000000e+001","2","19227","2"
"1439715737","47","Albizia julibrissin","Silktree","4.0000000000000000e+001","2","315252","5.0833334922790527e+000","2","315052","7.2800003051757812e+001","2","315052","5"
"1440612608","32","Stewartia pseudocamellia","Japanese Stewartia","2.5500000000000000e+001","2","281849","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1441993569","27","Salix amygdaloides","Peachleaf Willow","8.8800003051757813e+001","2","220430","8.5833330154418945e+000","2","220688","0.0000000000000000e+000","0",NULL,"3"
"1442857205","32","Malus domestica","Common Apple","4.3200000762939453e+001","2","220849","4.9166665077209473e+000","2","220849","0.0000000000000000e+000","0",NULL,"1"
"1443006849","64","Quercus x fernowii","Fernow Oak","6.6300003051757813e+001","2","175052","1.0416666984558105e+001","2","175053","0.0000000000000000e+000","0",NULL,"2"
"1443165520","20","Acer saccharum","Sugar Maple","1.0629921722412109e+002","2","104007","1.0760573387145996e+001","2","104007","0.0000000000000000e+000","0",NULL,"6"
"1443984912","47","Cornus florida","Flowering Dogwood","3.6200000762939453e+001","2","272642","5.3333334922790527e+000","2","313213","4.1000000000000000e+001","2","314959","9"
"1444454016","15","Fraxinus americana","White Ash","0.0000000000000000e+000","0",NULL,"8.5583333969116211e+000","2","76415","0.0000000000000000e+000","0",NULL,"1"
"1445021118","36","Taxodium ascendens","Pond Cypress","6.3200000762939453e+001","2","224403","6.7000002861022949e+000","2","224403","1.5000000000000000e+001","2","224403","1"
"1445241636","64","Prunus serotina var. serotina","Black Cherry","1.1959999847412109e+002","2","175030","1.2750000000000000e+001","2","175031","0.0000000000000000e+000","0",NULL,"5"
"1445401498","11","Abies lasiocarpa var. lasiocarpa","Subalpine Fir","9.0400001525878906e+001","2","220367","4.3333334922790527e+000","2","220367","0.0000000000000000e+000","0",NULL,"1"
"1445489687","43","Pinus virginiana","Virginia Pine","1.0569999694824219e+002","2","168550","4.4166665077209473e+000","2","168550","0.0000000000000000e+000","0",NULL,"2"
"1445628115","23","Liquidambar styraciflua","Sweetgum","1.4819999694824219e+002","2","251051","1.7833333969116211e+001","2","251088","6.8000000000000000e+001","2","251088","17"
"1445764072","18","Prunus avium","Sweet Cherry","8.9199996948242188e+001","2","128428","7.2500000000000000e+000","2","163342","0.0000000000000000e+000","0",NULL,"4"
"1446182121","11","Robinia pseudoacacia","Black Locust","6.7599998474121094e+001","2","164215","8.6666669845581055e+000","2","164215","0.0000000000000000e+000","0",NULL,"4"
"1446564790","40","Quercus texana","Texas Red Oak","1.5250000000000000e+002","2","321802","1.7100000381469727e+001","2","321992","0.0000000000000000e+000","0",NULL,"11"
"1446989088","15","Lindera benzoin var. benzoin","Northern Spicebush","1.5500000000000000e+001","2","297836","5.0000000000000000e-001","2","297836","0.0000000000000000e+000","0",NULL,"1"
"1448080513","25","Halesia tetraptera var. monticola","Mountain Silverbell","1.2600000000000000e+002","2","204866","1.0216666221618652e+001","2","227264","0.0000000000000000e+000","0",NULL,"7"
