"Id","Rank"
"1004127417","2"
"1029377630","1"
"1035416021","2"
"1045068406","2"
"104712439","1"
"1079743439","2"
"1102083583","2"
"1103296412","1"
"1107477123","3"
"1108066086","1"
"1108486047","3"
"1119557446","1"
"1139755764","1"
"1159049065","1"
"1163057934","1"
"1169397419","2"
"1202689709","1"
"1203552028","3"
"1206302983","2"
"1231983055","1"
"1242177984","1"
"1244552502","1"
"1245729586","1"
"1247031038","1"
"1260170270","3"
"1260420807","1"
"1277561186","1"
"1280974761","1"
"1298928949","2"
"1298955289","1"
"1299031847","1"
"1308730149","3"
"1313387738","1"
"1332191159","1"
"1339034155","3"
"1354011306","1"
"1357520640","2"
"1360007395","2"
"136042647","1"
"1369732571","1"
"1391443403","1"
"1400402252","2"
"1423759164","2"
"1424375441","1"
"1432809210","1"
"1445809168","1"
"1462422230","1"
"1477137021","1"
"1488114246","1"
"1489333812","1"
"1504502478","3"
"1513618578","3"
"1553129748","1"
"1559516858","1"
"1559885262","1"
"1571182516","2"
"1571739007","1"
"1590750765","3"
"1602624884","3"
"1612800321","1"
"1620188430","1"
"1630688348","1"
"1632533012","1"
"163789850","1"
"1659472942","1"
"1668917405","1"
"1695896656","1"
"1699524838","1"
"1703787132","1"
"1704298247","2"
"1718794657","1"
"172630677","2"
"1736156779","1"
"1763545816","1"
"1782458716","1"
"1787528172","1"
"1809992853","1"
"1837733363","1"
"184790485","2"
"1885311076","1"
"1905845871","2"
"1914741326","1"
"1919507476","1"
"1934160646","2"
"1945117039","1"
"1967269043","1"
"1982347156","1"
"1988929648","3"
"2023623044","1"
"206730746","1"
"208542450","1"
"2087159769","1"
"20975528","1"
"2101394897","1"
"210887078","1"
"2110404639","1"
"2115006828","1"
"213920952","3"
"2143217147","1"
"21612489","1"
"234429914","1"
"240433647","1"
"242084914","1"
"242328444","1"
"253177529","1"
"253286265","1"
"279197145","1"
"281358120","1"
"290012576","1"
"290905544","1"
"293260998","1"
"300404689","1"
"315927704","1"
"341947596","1"
"385925641","1"
"390955910","2"
"409003992","1"
"414224246","1"
"419455886","1"
"42204333","1"
"432631019","1"
"43300394","2"
"435121842","1"
"454063799","1"
"472746360","1"
"487056010","1"
"492120335","1"
"504259893","1"
"51945310","1"
"535640081","1"
"54560723","1"
"563672196","1"
"584755722","3"
"638262825","2"
"643020469","1"
"64768514","1"
"650105445","1"
"668694251","2"
"72813857","1"
"781556144","1"
"794609585","1"
"799321059","3"
"804061912","2"
"816527452","1"
"83103702","1"
"838763506","2"
"858224442","1"
"859213578","1"
"859886301","3"
"868839707","1"
"871678139","1"
"901039597","2"
"901950790","1"
"914550516","1"
"92840915","1"
"93704636","3"
"944939487","1"
"949944915","2"
"952988968","1"
"972488833","1"
"981282384","1"
